"","code","name","team_league","team_division","team_name"
"1","ana","Los Angeles Angels",103,"W","Angels"
"2","ari","Arizona Diamondbacks",104,"W","D-backs"
"3","atl","Atlanta Braves",104,"E","Braves"
"4","bal","Baltimore Orioles",103,"E","Orioles"
"5","bos","Boston Red Sox",103,"E","Red Sox"
"6","cha","Chicago White Sox",103,"C","White Sox"
"7","chn","Chicago Cubs",104,"C","Cubs"
"8","cin","Cincinnati Reds",104,"C","Reds"
"9","cle","Cleveland Indians",103,"C","Indians"
"10","col","Colorado Rockies",104,"W","Rockies"
"11","det","Detroit Tigers",103,"C","Tigers"
"12","hou","Houston Astros",103,"W","Astros"
"13","kca","Kansas City Royals",103,"C","Royals"
"14","lan","Los Angeles Dodgers",104,"W","Dodgers"
"15","mia","Miami Marlins",104,"E","Marlins"
"16","mil","Milwaukee Brewers",104,"C","Brewers"
"17","min","Minnesota Twins",103,"C","Twins"
"18","nya","New York Yankees",103,"E","Yankees"
"19","nyn","New York Mets",104,"E","Mets"
"20","oak","Oakland Athletics",103,"W","Athletics"
"21","phi","Philadelphia Phillies",104,"E","Phillies"
"22","pit","Pittsburgh Pirates",104,"C","Pirates"
"23","sdn","San Diego Padres",104,"W","Padres"
"24","sea","Seattle Mariners",103,"W","Mariners"
"25","sfn","San Francisco Giants",104,"W","Giants"
"26","sln","St. Louis Cardinals",104,"C","Cardinals"
"27","tba","Tampa Bay Rays",103,"E","Rays"
"28","tex","Texas Rangers",103,"W","Rangers"
"29","tor","Toronto Blue Jays",103,"E","Blue Jays"
"30","was","Washington Nationals",104,"E","Nationals"
