"","team_code","X1","hr","d","bam_obp","ab_risp","so","bis_obp","a","bis_ops","bam_ops","bis_slg","t_lob","h","rbi","bis_avg","lob","t","r","bam_slg","po","ab","bb","h_risp","bam_avg","url","date","full_name","team_flag","wins","losses","date2","games","s_hr","s_hits","s_so","s_r","s_lob","avg_hits","avg_so","avg_hr","avg_r","avg_lob","league","div","division"
"1","ana",1,1,1,0.306,4,11,0.306,8,0.65,0.65,0.344,7,7,2,0.219,11,0,2,0.344,24,32,4,0,0.219,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_03/gid_2017_04_03_anamlb_oakmlb_1/rawboxscore.xml","April 3, 2017","Los Angeles Angels","away",0,1,2017-04-03,1,1,7,11,2,11,7,11,1,2,11,"A","W","A - W"
"2","ana",2,1,0,0.315,8,7,0.315,9,0.694,0.694,0.379,3,9,7,0.242,11,1,7,0.379,27,34,2,4,0.242,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_04/gid_2017_04_04_anamlb_oakmlb_1/rawboxscore.xml","April 4, 2017","Los Angeles Angels","away",1,1,2017-04-04,2,2,16,18,9,22,8,9,1,4.5,11,"A","W","A - W"
"3","ana",3,0,3,0.345,14,5,0.345,11,0.743,0.743,0.398,8,13,5,0.282,17,0,5,0.398,27,37,2,4,0.282,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_05/gid_2017_04_05_anamlb_oakmlb_1/rawboxscore.xml","April 5, 2017","Los Angeles Angels","away",2,1,2017-04-05,3,2,29,23,14,39,9.66666666666667,7.66666666666667,0.666666666666667,4.66666666666667,13,"A","W","A - W"
"4","ana",4,0,0,0.318,8,7,0.318,5,0.659,0.659,0.341,7,5,1,0.252,11,0,1,0.341,24,32,3,0,0.252,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_06/gid_2017_04_06_anamlb_oakmlb_1/rawboxscore.xml","April 6, 2017","Los Angeles Angels","away",2,2,2017-04-06,4,2,34,30,15,50,8.5,7.5,0.5,3.75,12.5,"A","W","A - W"
"5","ana",5,2,1,0.326,9,8,0.326,5,0.707,0.707,0.381,7,11,5,0.268,20,0,5,0.381,27,33,2,0,0.268,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_07/gid_2017_04_07_seamlb_anamlb_1/rawboxscore.xml","April 7, 2017","Los Angeles Angels","home",3,2,2017-04-07,5,4,45,38,20,70,9,7.6,0.8,4,14,"A","W","A - W"
"6","ana",6,2,2,0.336,9,7,0.336,9,0.755,0.755,0.419,7,13,5,0.286,16,0,5,0.419,27,35,1,3,0.286,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_08/gid_2017_04_08_seamlb_anamlb_1/rawboxscore.xml","April 8, 2017","Los Angeles Angels","home",4,2,2017-04-08,6,6,58,45,25,86,9.66666666666667,7.5,1,4.16666666666667,14.3333333333333,"A","W","A - W"
"7","ana",7,2,2,0.352,9,5,0.352,9,0.791,0.791,0.439,5,11,10,0.291,12,0,10,0.439,27,34,7,4,0.291,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_09/gid_2017_04_09_seamlb_anamlb_1/rawboxscore.xml","April 9, 2017","Los Angeles Angels","home",5,2,2017-04-09,7,8,69,50,35,98,9.85714285714286,7.14285714285714,1.14285714285714,5,14,"A","W","A - W"
"8","ana",8,2,4,0.359,11,7,0.359,9,0.816,0.816,0.457,11,12,6,0.293,18,0,6,0.457,30,39,5,4,0.293,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_11/gid_2017_04_11_texmlb_anamlb_1/rawboxscore.xml","April 11, 2017","Los Angeles Angels","home",6,2,2017-04-11,8,10,81,57,41,116,10.125,7.125,1.25,5.125,14.5,"A","W","A - W"
"9","ana",9,1,3,0.343,6,7,0.343,10,0.791,0.791,0.448,5,6,3,0.282,9,0,3,0.448,27,32,1,0,0.282,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_12/gid_2017_04_12_texmlb_anamlb_1/rawboxscore.xml","April 12, 2017","Los Angeles Angels","home",6,3,2017-04-12,9,11,87,64,44,125,9.66666666666667,7.11111111111111,1.22222222222222,4.88888888888889,13.8888888888889,"A","W","A - W"
"10","ana",10,1,0,0.337,10,11,0.337,7,0.771,0.771,0.434,6,7,3,0.276,18,0,3,0.434,27,33,3,1,0.276,"http://gd2.mlb.com/components/game/mlb/year_2017/month_04/day_13/gid_2017_04_13_texmlb_anamlb_1/rawboxscore.xml","April 13, 2017","Los Angeles Angels","home",6,4,2017-04-13,10,12,94,75,47,143,9.4,7.5,1.2,4.7,14.3,"A","W","A - W"
